dimension,M_BLOCK,N_BLOCK,K_BLOCK,NUM_RANK_BLOCK,NUM_ALLOC_RANK_BLOCK,k_block,REG_K_SPLIT_BLOCK,SMEM_K_SPLIT_BLOCK,time,Tflops
1d,32,32,32,2,2,2,1,1,3.84851,279.002
1d,32,32,32,2,2,2,2,0,2.79318,384.415
1d,96,96,96,2,2,6,1,5,69.2867,418.422
1d,96,96,96,2,2,6,2,4,67.1048,432.026
1d,96,96,96,2,2,6,3,3,63.5305,456.332
1d,96,96,96,2,2,6,4,2,63.1582,459.023
1d,96,96,96,2,2,6,5,1,60.528,478.969
1d,96,96,96,2,2,6,6,0,62.2205,465.94
1d,128,128,128,2,2,8,2,6,326.724,210.329
1d,128,128,128,2,2,8,4,4,173.672,395.686
1d,128,128,128,2,2,8,6,2,184.658,372.145
1d,128,128,128,2,2,8,8,0,231.984,296.225
1d,64,64,64,2,2,4,1,3,17.3507,495.078
1d,64,64,64,2,2,4,2,2,17.1172,501.832
1d,64,64,64,2,2,4,3,1,16.9943,505.461
1d,64,64,64,2,2,4,4,0,17.0169,504.789
