m,n,k,dimension,reg_count
64,32,64,1d,40
64,32,64,2d,56
64,32,64,3d,40
64,32,96,1d,56
64,32,96,2d,64
64,32,96,3d,40
64,32,128,1d,72
64,32,128,2d,73
64,32,128,3d,56
64,32,160,1d,76
64,32,160,2d,96
64,32,160,3d,56
64,32,192,1d,88
64,32,192,2d,116
64,32,192,3d,63
64,32,224,1d,102
64,32,224,2d,128
64,32,224,3d,63
64,32,256,1d,112
64,32,256,2d,121
64,32,256,3d,73
64,32,320,1d,136
64,32,320,2d,168
64,32,320,3d,88
64,32,352,1d,148
64,32,352,2d,182
64,32,352,3d,88
64,32,384,1d,162
64,32,384,2d,204
64,32,384,3d,108
64,32,448,1d,186
64,32,448,2d,238
64,32,448,3d,121
64,32,512,1d,208
64,32,512,2d,230
64,32,512,3d,124
